Colour,Hex Code,Emotion,Fashion Trend, Fashion Description,Mood Description, Description, Icon, Mood, Song 
Red,#FF0000,Passion, Energy,Bold Fashion,Fiery, Intense,Iris Law,Happy,"Firework" - Katy Perry
Blue,#0000FF,Calm, Trustworthy,Casual Chic,Relaxed, Peaceful,Meghan Markle,Sad,"Someone Like You" - Adele
Yellow,#FFFF00,Happiness, Optimism,Summer Vibes,Bright, Joyful,Beyoncé,Confident,"Happy" - Pharrell Williams
Green,#00FF00,Balance, Growth,Eco-friendly Fashion,Fresh, Restful,Emma Watson,Energetic,"Good Life" - OneRepublic
Purple,#800080,Luxury, Creativity,Elegant Evening Wear,Regal, Creative,Zendaya,Calm,"Purple Rain" - Prince
Orange,#FFA500,Warmth, Enthusiasm,Boho Chic,Vibrant, Fun,Kylie Jenner,Chill,"Can't Stop the Feeling!" - Justin Timberlake
Pink,#FFC0CB,Compassion, Love,Feminine Fashion,Soft, Gentle,Ariana Grande,Romantic,"Love Me Like You Do" - Ellie Goulding
Black,#000000,Power, Sophistication,Classic Elegance,Strong, Mysterious,Victoria Beckham,Playful,"Bad Guy" - Billie Eilish
White,#FFFFFF,Purity, Peace,Minimalist Fashion,Calm, Neutral,Bella Hadid,Bold,"The Middle" - Zedd, Maren Morris, Grey
Brown,#A52A2A,Stability, Comfort,Autumn Wear,Warm, Earthy,Oprah Winfrey,Glamorous,"Home" - Edward Sharpe & The Magnetic Zeros
Grey,#808080,Neutrality, Calm,Professional Wear,Balanced, Cool,Zoe Kravitz,Adventurous,"Toxic" - Britney Spears
Indigo,#4B0082,Intuition, Wisdom,Intellectual Fashion,Deep, Focused,Natalie Portman,Sophisticated,"Clocks" - Coldplay
Aqua,#00FFFF,Clarity, Healing,Resort Wear,Fresh, Soothing,Selena Gomez,Edgy,"Watermelon Sugar" - Harry Styles
Violet,#EE82EE,Spiritual, Romantic,Vintage Fashion,Dreamy, Elegant,Lady Gaga,Chic,"Shallow" - Lady Gaga & Bradley Cooper
Gold,#FFD700,Luxury, Wealth,Evening Wear,Opulent, Glamorous,Kim Kardashian,Comfortable,"Gold Digger" - Kanye West
Silver,#C0C0C0,Modern, Futuristic,Metallic Fashion,Sleek, Techy,Nara Smith,Mystical,"Starlight" - Muse
Teal,#008080,Balance, Serenity,Coastal Wear,Peaceful, Calm,Blake Lively,Excited,"Ocean Eyes" - Billie Eilish
Maroon,#800000,Strength, Courage,Power Dressing,Bold, Assertive,Serena Williams,Sexy,"Power" - Kanye West
Lavender,#E6E6FA,Relaxation, Calm,Soft Chic,Tranquil, Restful,Emma Stone,Rebellious,"Chandelier" - Sia
Coral,#FF7F50,Warmth, Joy,Summer Dresses,Playful, Warm,Taylor Swift,Confused,"22" - Taylor Swift
Peach,#FFDAB9,Serenity, Calmness,Casual Summer Wear,Soft, Gentle,Scarlett Johansson,Proud,"Lover" - Taylor Swift
Mint,#98FF98,Freshness, Vitality,Spring Fashion,Light, Uplifting,Lily Collins,Flirty,"Levitating" - Dua Lipa
Salmon,#FA8072,Comfort, Warmth,Casual Fashion,Cozy, Homely,Jessica Alba,Focused,"Sunflower" - Post Malone, Swae Lee
Tan,#D2B48C,Stability, Simplicity,Earthy Fashion,Relaxed, Soothing,Billie Eilish,Caring,"Everything I Wanted" - Billie Eilish
Khaki,#F0E68C,Neutrality, Peace,Military Inspired Fashion,Subtle, Strong,Kate Moss,Curious,"Waiting on the World to Change" - John Mayer
Burgundy,#800020,Power, Confidence,Luxe Fashion,Deep, Confident,Rihanna,Grumpy,"Run This Town" - Jay-Z, Rihanna, Kanye West
Charcoal,#36454F,Strength, Authority,Professional Style,Serious, Commanding,Naomi Campbell,Energetic,"Uptown Funk" - Mark Ronson ft. Bruno Mars
Lemon,#FFF700,Cheerfulness, Fun,Casual Daywear,Bright, Lively,Zendaya,Nostalgic,"Good as Hell" - Lizzo
Periwinkle,#CCCCFF,Calm, Peaceful,Soft Fashion,Gentle, Relaxing,Blake Lively,Mellow,"Fix You" - Coldplay
