Color,Hex Code,Mood,Fashion Trend,Mood description,Icon,Mood
Red,#FF0000,"Passion, Energy",Bold Fashion,"Fiery, Intense",Iris Law,Happy
Blue,#0000FF,"Calm, Trustworthy",Casual Chic,"Relaxed, Peaceful",Meghan Markle,Sad
Yellow,#FFFF00,"Happiness, Optimism",Summer Vibes,"Bright, Joyful",Beyonce,Confident
Green,#00FF00,"Balance, Growth",Eco-friendly Fashion,"Fresh, Restful",Emma Watson,Energetic
Purple,#800080,"Luxury, Creativity",Elegant Evening Wear,"Regal, Creative",Zendaya,Calm
Orange,#FFA500,"Warmth, Enthusiasm",Boho Chic,"Vibrant, Fun",Kylie Jenner,Chill
Pink,#FFC0CB,"Compassion, Love",Feminine Fashion,"Soft, Gentle",Ariana Grande,Romantic
Black,#000000,"Power, Sophistication",Classic Elegance,"Strong, Mysterious",Victoria Beckham,Playful
White,#FFFFFF,"Purity, Peace",Minimalist Fashion,"Calm, Neutral",Bella Hadid,Bold
Brown,#A52A2A,"Stability, Comfort",Autumn Wear,"Warm, Earthy",Oprah Winfrey,Glamorous
Grey,#808080,"Neutrality, Calm",Professional Wear,"Balanced, Cool",Zoe Kravitz,Adventurous
Indigo,#4B0082,"Intuition, Wisdom",Intellectual Fashion,"Deep, Focused",Natalie Portman,Sophisticated
Aqua,#00FFFF,"Clarity, Healing",Resort Wear,"Fresh, Soothing",Selena Gomez,Edgy
Violet,#EE82EE,"Spiritual, Romantic",Vintage Fashion,"Dreamy, Elegant",Lady Gaga,Chic
Gold,#FFD700,"Luxury, Wealth",Evening Wear,"Opulent, Glamorous",Kim Kardashian,Comfortable
Silver,#C0C0C0,"Modern, Futuristic",Metallic Fashion,"Sleek, Techy",Nara Smith,Mystical
Teal,#008080,"Balance, Serenity",Coastal Wear,"Peaceful, Calm",Blake Lively,Excited
Maroon,#800000,"Strength, Courage",Power Dressing,"Bold, Assertive",Serena Williams,Sexy
Lavender,#E6E6FA,"Relaxation, Calm",Soft Chic,"Tranquil, Restful",Emma Stone,Rebellious
Coral,#FF7F50,"Warmth, Joy",Summer Dresses,"Playful, Warm",Taylor Swift,Confused
Peach,#FFDAB9,"Serenity, Calmness",Casual Summer Wear,"Soft, Gentle",Scarlett Johansson,Proud
Mint,#98FF98,"Freshness, Vitality",Spring Fashion,"Light, Uplifting",Lily Collins,Flirty
Salmon,#FA8072,"Comfort, Warmth",Casual Fashion,"Cozy, Homely",Jessica Alba,Focused
Tan,#D2B48C,"Stability, Simplicity",Earthy Fashion,"Relaxed, Soothing",Billie Eilish,Caring
Khaki,#F0E68C,"Neutrality, Peace",Military Inspired Fashion,"Subtle, Strong",Kate Moss,Curious
Burgundy,#800020,"Power, Confidence",Luxe Fashion,"Deep, Confident",Rihanna,Grumpy
Charcoal,#36454F,"Strength, Authority",Professional Style,"Serious, Commanding",Naomi Campbell,Energetic
Lemon,#FFF700,"Cheerfulness, Fun",Casual Daywear,"Bright, Lively",Zendaya,Nostalgic
Periwinkle,#CCCCFF,"Calm, Peaceful",Soft Fashion,"Gentle, Relaxing",Blake Lively,Mellow
