Mood,StyleTrend,Description,SassyComment,Emoji
Happy,Bright Colours,"Vibrant colours, playful patterns, and happy vibes.",Shine bright like the star you are! ✨🌞,🌞✨💅
Sad,Oversized Sweaters,"Comfy oversized sweaters, leggings, and cozy footwear.","Comfy chic, darling. Let’s make it a cozy day. 🛋️",🧣🛋️
Confident,Power Dressing,"Tailored blazers, sharp trousers, and statement jewellery.",Power moves only. You’re ready to conquer! 👑🔥,👑🔥💃
Energetic,Athletic Vibes,"Athleisure, comfortable joggers, and sporty sneakers.","Get moving, babe. You’re unstoppable! 💥",💥👟
Calm,Minimalist,"Neutral tones, clean lines, and minimalist aesthetics.","Less is more, darling. Embrace simplicity. 🌿",🌿🤍
Chill,Casual,"Casual, airy clothing that promotes relaxation.",Chill vibes only. Relax and look fabulous. 😌,😌🌸
Romantic,Flowing Dresses,"Soft fabrics, delicate floral prints, and romantic silhouettes.",You’re a dream in that dress! 🌹,🌹💫
Playful,Bold Prints,"Bold patterns and colours, with fun accessories.","Go bold or go home, gorgeous! 💅",💅🌈
Bold,Edgy Accessories,"Leather jackets, bold boots, and edgy styling.","Make a statement, darling. Rock that edgy style! ⚡",⚡👢
Glamorous,Evening Wear,"Glamorous evening gowns, sequins, and luxury accessories.",You own the night in that glam outfit! ✨,✨💖
Adventurous,Outdoor Clothing,Rugged outdoor clothing for adventurous activities.,Adventure awaits! Get ready for the outdoors. 🌲,🌲🗺️
Sophisticated,Luxury Fashion,"Clean lines, high-end fabrics, and sophistication.",Elegance is key. You were born for luxury. 💎,💎👗
Edgy,Grunge-Inspired,"Dark colours, layered clothing, and edgy accessories.","Grunge it up, babe. Be edgy and cool. 🖤",🖤🎧
Chic,Tailored Suits,"Tailored suits, modern silhouettes, and sleek designs.","Chic and sleek, darling. You’ve got this. ✨",✨💁‍♀️
Comfortable,Loungewear,Comfortable and stylish loungewear for a relaxed vibe.,"Comfy, cozy, and chic. Perfect for lounging. 😴",😴🛏️
Mystical,Bohemian Vibes,"Flowy layers, loose silhouettes, and dreamy colours.",Let your boho spirit fly free! 🌙,🌙🌻
Excited,Neon Brights,"Bright neon, bold patterns, and statement accessories.","Turn heads in neon, babe. The world’s your runway! 🌟",🌟💫
Sexy,Figure-Hugging Outfits,"Tight, figure-flattering dresses, and sleek heels.","Show them what confidence looks like, darling. 💋",👠🔥
Rebellious,Vintage Clothing,"Vintage clothing with a rebellious twist, ripped jeans.","Vintage vibes, let’s go rebellious! ✌️",🎸🎤
Confused,Casual Chic,"Comfy clothing, mismatched for a relaxed vibe.",Mismatched? Who cares. You’re fabulous anyway! 😎,🌿🌎
Proud,Bold Slogans,"T-shirts with empowering slogans, and graphic designs.",Stand tall in that slogan tee. Own your truth! 💪,🎨💥
Flirty,Cute Skirts,"Fun, flirty skirts and tops, with delicate accessories.","Flirt with the world, darling. You’ve got the charm! 💕",🖤🌘
Focused,Tailored Suits,"Sharp tailored suits, professional accessories, and smart shoes.","Focus and slay, boss. You’re unstoppable! 👔",👟💨
Caring,Earth Tones,"Earthy colours, eco-friendly materials, and soft textures.",Eco-chic! Save the planet in style. 🌍,🎶🕺
Curious,Mixing Patterns,Mixing and matching bold patterns for an experimental look.,"Mix it up, make it pop! Fashion’s your playground. 🎨",🌸💖
Grumpy,Dark Tones,"Dark tones, oversized clothing for a laid-back vibe.","Dark and moody, but oh so cool. 🖤",💁‍♀️💋
Energetic,Sporty Looks,Sporty looks with a mix of casual and athletic pieces.,"Run, jump, and look fab. Athleisure goals! 👟",✨💎
Nostalgic,Retro-Inspired,"Retro vintage-inspired looks, and quirky patterns.","Back in time, babe. Retro is the new now! 🎶",🌼☀️
Mellow,Soft Pastels,"Soft pastel colours, and airy, relaxed outfits.",Pastels make everything softer. You look angelic! 🌸,🎯🏅
Joyful,Simple Yet Stylish,Simple and stylish pieces for an effortlessly chic vibe.,You’ve got the look! Effortless style at its finest. 😎,💥⚡
