Color,Hex Code,Emotion,Fashion Trend,Mood description,Icon,Mood,StyleTrend,Description,SassyComment,Emoji
Red,#FF0000,"Passion, Energy",Bold Fashion,"Fiery, Intense",Iris Law,Happy,Bright Colours,"Vibrant colours, playful patterns, and happy vibes.",Shine bright like the star you are! ✨🌞,🌞✨💅
Blue,#0000FF,"Calm, Trustworthy",Casual Chic,"Relaxed, Peaceful",Meghan Markle,Sad,Oversized Sweaters,"Comfy oversized sweaters, leggings, and cozy footwear.","Comfy chic, darling. Let’s make it a cozy day. 🛋️",🧣🛋️
Yellow,#FFFF00,"Happiness, Optimism",Summer Vibes,"Bright, Joyful",Beyonce,Confident,Power Dressing,"Tailored blazers, sharp trousers, and statement jewellery.",Power moves only. You’re ready to conquer! 👑🔥,👑🔥💃
Green,#00FF00,"Balance, Growth",Eco-friendly Fashion,"Fresh, Restful",Emma Watson,Energetic,Athletic Vibes,"Athleisure, comfortable joggers, and sporty sneakers.","Get moving, babe. You’re unstoppable! 💥",💥👟
Green,#00FF00,"Balance, Growth",Eco-friendly Fashion,"Fresh, Restful",Emma Watson,Energetic,Sporty Looks,Sporty looks with a mix of casual and athletic pieces.,"Run, jump, and look fab. Athleisure goals! 👟",✨💎
Purple,#800080,"Luxury, Creativity",Elegant Evening Wear,"Regal, Creative",Zendaya,Calm,Minimalist,"Neutral tones, clean lines, and minimalist aesthetics.","Less is more, darling. Embrace simplicity. 🌿",🌿🤍
Orange,#FFA500,"Warmth, Enthusiasm",Boho Chic,"Vibrant, Fun",Kylie Jenner,Chill,Casual,"Casual, airy clothing that promotes relaxation.",Chill vibes only. Relax and look fabulous. 😌,😌🌸
Pink,#FFC0CB,"Compassion, Love",Feminine Fashion,"Soft, Gentle",Ariana Grande,Romantic,Flowing Dresses,"Soft fabrics, delicate floral prints, and romantic silhouettes.",You’re a dream in that dress! 🌹,🌹💫
Black,#000000,"Power, Sophistication",Classic Elegance,"Strong, Mysterious",Victoria Beckham,Playful,Bold Prints,"Bold patterns and colours, with fun accessories.","Go bold or go home, gorgeous! 💅",💅🌈
White,#FFFFFF,"Purity, Peace",Minimalist Fashion,"Calm, Neutral",Bella Hadid,Bold,Edgy Accessories,"Leather jackets, bold boots, and edgy styling.","Make a statement, darling. Rock that edgy style! ⚡",⚡👢
